LineOID,AtmCa,CaO_Mean,EVI_MaxAve,LST32AVE,MAXWD_WS,MEANP_WS,AtmMg,MgO_Mean,MINP_WS,AtmSO4,TMAX_WS,SumAve_P,XWD_WS,BDH_AVE,KFCT_AVE,LPREM_mean,PRMH_AVE,S_Mean,UCS_Mean
1,0.02958304,4.217245,2782.251,150.0014,18.99865,1199.655,0.01684489,1.884202,16.77703,0.2549525,191.5486,8033.9,123.9986,1.161421,0.1024079,-1.392674,6.522118,0.026516,144.0692
2,0.02955432,4.217245,3094.061,150.0667,18.93333,1161.564,0.01682156,1.884202,16.17961,0.2547927,195.8871,8030.001,123.538,1.126791,0.1084527,-1.392674,7.972369,0.026516,144.0692
3,0.02910002,3.26861,3423.803,147.6776,18.253,1218.648,0.01650336,1.537229,18.80565,0.2525311,198.6171,8623.365,120.918,1.000919,0.1038832,-1.459253,9.398409,0.02965474,158.9735
4,0.02761838,2.97204,3011.735,146.5942,17.81735,1425.74,0.01525139,1.428756,29.23108,0.2445929,158.2105,10035.13,120.8173,0.85,0.101,-1.480067,11.975,0.030636,163.633
5,0.02762229,2.97204,3207.711,147.1125,17.64135,1415.058,0.01525937,1.428756,29.10024,0.2446413,158.8699,10018.89,120.6413,0.85,0.101,-1.480067,11.975,0.030636,163.633
6,0.02763444,2.97204,3419.227,147.0828,17.51186,1392.567,0.01527585,1.428756,28.29536,0.2447381,165.6198,9731.122,120.5648,0.8488719,0.1010064,-1.480067,11.97456,0.030636,163.633
7,0.02763721,2.97204,3563.372,146.9584,17.45307,1382.432,0.01528028,1.428756,27.78281,0.2447645,171.1842,9744.201,120.6177,0.8655649,0.1012913,-1.480067,11.95477,0.030636,163.633
8,0.02734323,3.868825,3312.929,156.4886,17.35674,1565.749,0.0150014,2.154782,28.48525,0.2432462,179.9187,10382.64,122.5844,1.113204,0.1013461,-1.264564,6.585486,0.03139606,143.7218
9,0.02908931,2.97204,3016.335,148.6602,18,1238.039,0.01653537,1.428756,18.24319,0.2526872,200.8117,8642.016,117.6543,1.136105,0.09452804,-1.480067,5.737645,0.030636,163.633
10,0.02915709,3.001579,3130.831,148.6716,18,1206.875,0.01658496,1.43956,17.51186,0.2530315,204.6469,8110.284,117.4407,1.167331,0.09382363,-1.477994,5.058766,0.03053826,163.1689
11,0.02876151,3.087849,3392.595,146.4871,18.535,1318.494,0.01632734,1.471114,21.67874,0.2512153,191.6354,9083.693,123.1588,0.9079435,0.09981585,-1.471939,10.7135,0.03025282,161.8135
12,0.02932547,2.97204,2808.249,145.7517,17.43215,1205.782,0.01649674,1.428756,18.43215,0.2525974,193.5313,8228.166,113.2974,0.8502226,0.101406,-1.480067,11.92546,0.030636,163.633
13,0.0293186,2.97204,2923.862,146.1174,17.5985,1188.555,0.01650474,1.428756,17.64784,0.2526506,196.8282,8252.403,113.7962,0.8522182,0.1017496,-1.480067,11.88355,0.030636,163.633
14,0.02936585,2.97204,3220.468,146.354,17.65886,1160.519,0.01654756,1.428756,16.69122,0.2529374,200.4835,8067.972,113.9104,0.8695515,0.1026573,-1.480067,11.77282,0.030636,163.633
15,0.02937669,2.97204,3462.801,146.7713,17.66523,1132.507,0.01656745,1.428756,16.0925,0.2530702,203.358,8057.433,114.1792,0.9166996,0.1057434,-1.480067,11.3963,0.030636,163.633
16,0.0294088,2.97204,3617.967,146.82,17.45765,1097.464,0.01659205,1.428756,15.45738,0.2532351,207.1692,7897.621,113.5149,0.9281569,0.1066042,-1.480067,11.29129,0.030636,163.633
17,0.02926738,2.97204,3492.427,147.7546,17.85727,1130.979,0.01652231,1.428756,16.72586,0.2527716,205.7632,8604.134,117.7987,0.9904124,0.1078124,-1.480067,10.37954,0.030636,163.633
18,0.02848746,2.97204,3437.657,144.3916,18.69581,1259.811,0.01611035,1.428756,21.55485,0.2497597,182.4669,9569.91,125.4791,0.85,0.101,-1.480067,11.975,0.030636,163.633
19,0.02852332,2.97204,3389.26,145.0413,18.58903,1277.618,0.01612765,1.428756,21.78935,0.2498941,184.3504,9576.38,124.9208,0.85,0.101,-1.480067,11.975,0.030636,163.633
20,0.02844399,2.97204,3312.287,145.2188,18.85334,1285.617,0.01608872,1.428756,23.20938,0.2496328,184.3006,9590.79,126.4082,0.85,0.101,-1.480067,11.975,0.030636,163.633
21,0.02940541,2.97204,5236.069,136.8579,16.06402,1008.02,0.01634495,1.428756,15.54032,0.2516501,227.0198,7785.524,108.5272,0.9265378,0.1063231,-1.480067,11.32558,0.030636,163.633
22,0.02940694,2.97204,5303.552,136.9934,15.93804,957.2294,0.01635441,1.428756,15.35316,0.2517096,231.0124,7598.167,107.3894,0.9455003,0.1076204,-1.480067,11.16732,0.030636,163.633
23,0.02941198,2.97204,5300.818,137.0572,15.88269,931.4915,0.01636201,1.428756,15.27331,0.2517586,233.4097,7518.232,106.8988,0.9554276,0.1081502,-1.480067,11.10543,0.030636,163.633
24,0.02941237,2.97204,5299.137,137.0645,15.87914,929.7096,0.01636255,1.428756,15.26819,0.2517621,233.5891,7513.106,106.8705,0.9569713,0.1081742,-1.480067,11.10382,0.030636,163.633
25,0.02917248,2.97204,4872.998,136,17,1159.61,0.01624781,1.428756,14.75398,0.2509771,212.3893,7943.733,111,0.8827907,0.1038137,-1.480067,11.63172,0.030636,163.633
26,0.02917154,2.97204,5569.672,136.15,16.85002,1092.397,0.01624771,1.428756,14.29172,0.2509763,218.7247,7943.733,110.4486,0.9435213,0.1074997,-1.480067,11.18203,0.030636,163.633
27,0.02916214,2.97204,6086.124,136.7545,16.24551,991.0811,0.0162469,1.428756,13.72686,0.2509694,228.1022,7761.492,108.5067,0.9780684,0.1101941,-1.480067,10.85332,0.030636,163.633
28,0.0291856,2.97204,6200.534,137.0503,15.94973,906.6143,0.01626941,1.428756,13.60063,0.2511167,236.4669,7617.072,107.5723,1.006021,0.1120064,-1.480067,10.63222,0.030636,163.633
